"blk","vty","nit","ino","bv.int","bn.int","bi.int","vn.int","vi.int","ni.int","bvn.int","bvi.int","bni.int","vni.int","infected","uninfected"
1,3,2,2,13,7,7,8,8,5,43,8,8,5,6,24
1,3,1,1,13,1,1,3,3,1,13,3,3,1,1,29
1,3,1,2,13,1,7,3,8,4,13,3,8,4,4,26
1,3,2,1,13,7,1,8,3,2,43,8,3,2,1,29
1,3,3,2,13,13,7,13,8,6,73,13,8,6,8,22
1,3,3,1,13,13,1,13,3,3,73,13,3,3,3,27
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,28
1,1,2,2,1,7,7,6,6,5,31,6,6,5,2,28
1,1,2,1,1,7,1,6,1,2,31,6,1,2,1,29
1,1,1,2,1,1,7,1,6,4,1,1,6,4,4,26
1,1,3,2,1,13,7,11,6,6,61,11,6,6,10,20
1,1,3,1,1,13,1,11,1,3,61,11,1,3,4,26
1,4,2,2,19,7,7,9,9,5,49,9,9,5,8,22
1,4,2,1,19,7,1,9,4,2,49,9,4,2,2,28
1,4,1,2,19,1,7,4,9,4,19,4,9,4,3,27
1,4,1,1,19,1,1,4,4,1,19,4,4,1,1,29
1,4,3,2,19,13,7,14,9,6,79,14,9,6,5,25
1,4,3,1,19,13,1,14,4,3,79,14,4,3,4,26
1,5,1,2,25,1,7,5,10,4,25,5,10,4,2,28
1,5,1,1,25,1,1,5,5,1,25,5,5,1,2,28
1,5,3,1,25,13,1,15,5,3,85,15,5,3,2,28
1,5,2,2,25,7,7,10,10,5,55,10,10,5,3,27
1,5,2,1,25,7,1,10,5,2,55,10,5,2,2,28
1,5,3,2,25,13,7,15,10,6,85,15,10,6,10,20
1,2,2,2,7,7,7,7,7,5,37,7,7,5,5,25
1,2,3,1,7,13,1,12,2,3,67,12,2,3,2,28
1,2,3,2,7,13,7,12,7,6,67,12,7,6,5,25
1,2,2,1,7,7,1,7,2,2,37,7,2,2,1,29
1,2,1,2,7,1,7,2,7,4,7,2,7,4,4,26
1,2,1,1,7,1,1,2,2,1,7,2,2,1,2,28
2,3,1,1,14,2,2,3,3,1,14,3,3,1,1,29
2,3,1,2,14,2,8,3,8,4,14,3,8,4,6,24
2,3,3,2,14,14,8,13,8,6,74,13,8,6,10,20
2,3,3,1,14,14,2,13,3,3,74,13,3,3,3,27
2,3,2,1,14,8,2,8,3,2,44,8,3,2,2,28
2,3,2,2,14,8,8,8,8,5,44,8,8,5,3,27
2,2,1,1,8,2,2,2,2,1,8,2,2,1,1,29
2,2,3,1,8,14,2,12,2,3,68,12,2,3,7,23
2,2,2,2,8,8,8,7,7,5,38,7,7,5,3,27
2,2,1,2,8,2,8,2,7,4,8,2,7,4,6,24
2,2,3,2,8,14,8,12,7,6,68,12,7,6,11,19
2,2,2,1,8,8,2,7,2,2,38,7,2,2,0,30
2,1,1,1,2,2,2,1,1,1,2,1,1,1,0,30
2,1,3,2,2,14,8,11,6,6,62,11,6,6,5,25
2,1,2,2,2,8,8,6,6,5,32,6,6,5,6,24
2,1,3,1,2,14,2,11,1,3,62,11,1,3,1,29
2,1,1,2,2,2,8,1,6,4,2,1,6,4,5,25
2,1,2,1,2,8,2,6,1,2,32,6,1,2,1,29
2,5,3,1,26,14,2,15,5,3,86,15,5,3,3,27
2,5,3,2,26,14,8,15,10,6,86,15,10,6,8,22
2,5,1,2,26,2,8,5,10,4,26,5,10,4,6,24
2,5,2,1,26,8,2,10,5,2,56,10,5,2,2,28
2,5,1,1,26,2,2,5,5,1,26,5,5,1,1,29
2,5,2,2,26,8,8,10,10,5,56,10,10,5,4,26
2,4,2,1,20,8,2,9,4,2,50,9,4,2,4,26
2,4,2,2,20,8,8,9,9,5,50,9,9,5,7,23
2,4,3,1,20,14,2,14,4,3,80,14,4,3,4,26
2,4,1,2,20,2,8,4,9,4,20,4,9,4,6,24
2,4,1,1,20,2,2,4,4,1,20,4,4,1,0,30
2,4,3,2,20,14,8,14,9,6,80,14,9,6,5,25
3,4,3,1,21,15,3,14,4,3,81,14,4,3,2,28
3,4,3,2,21,15,9,14,9,6,81,14,9,6,7,23
3,4,1,2,21,3,9,4,9,4,21,4,9,4,5,25
3,4,2,1,21,9,3,9,4,2,51,9,4,2,2,28
3,4,1,1,21,3,3,4,4,1,21,4,4,1,3,27
3,4,2,2,21,9,9,9,9,5,51,9,9,5,6,24
3,2,3,1,9,15,3,12,2,3,69,12,2,3,3,27
3,2,2,2,9,9,9,7,7,5,39,7,7,5,4,26
3,2,1,2,9,3,9,2,7,4,9,2,7,4,4,26
3,2,2,1,9,9,3,7,2,2,39,7,2,2,1,29
3,2,1,1,9,3,3,2,2,1,9,2,2,1,5,25
3,2,3,2,9,15,9,12,7,6,69,12,7,6,6,24
3,1,3,1,3,15,3,11,1,3,63,11,1,3,3,27
3,1,1,2,3,3,9,1,6,4,3,1,6,4,3,27
3,1,2,2,3,9,9,6,6,5,33,6,6,5,7,23
3,1,2,1,3,9,3,6,1,2,33,6,1,2,3,27
3,1,3,2,3,15,9,11,6,6,63,11,6,6,2,28
3,1,1,1,3,3,3,1,1,1,3,1,1,1,2,28
3,3,3,2,15,15,9,13,8,6,75,13,8,6,6,24
3,3,2,2,15,9,9,8,8,5,45,8,8,5,5,25
3,3,1,2,15,3,9,3,8,4,15,3,8,4,5,25
3,3,3,1,15,15,3,13,3,3,75,13,3,3,1,29
3,3,2,1,15,9,3,8,3,2,45,8,3,2,4,26
3,3,1,1,15,3,3,3,3,1,15,3,3,1,2,28
3,5,3,2,27,15,9,15,10,6,87,15,10,6,7,23
3,5,2,2,27,9,9,10,10,5,57,10,10,5,5,25
3,5,3,1,27,15,3,15,5,3,87,15,5,3,2,28
3,5,1,2,27,3,9,5,10,4,27,5,10,4,4,26
3,5,2,1,27,9,3,10,5,2,57,10,5,2,1,29
3,5,1,1,27,3,3,5,5,1,27,5,5,1,1,29
4,5,1,2,28,4,10,5,10,4,28,5,10,4,3,27
4,5,3,2,28,16,10,15,10,6,88,15,10,6,7,23
4,5,1,1,28,4,4,5,5,1,28,5,5,1,1,29
4,5,2,1,28,10,4,10,5,2,58,10,5,2,2,28
4,5,2,2,28,10,10,10,10,5,58,10,10,5,2,28
4,5,3,1,28,16,4,15,5,3,88,15,5,3,1,29
4,2,1,2,10,4,10,2,7,4,10,2,7,4,2,28
4,2,1,1,10,4,4,2,2,1,10,2,2,1,2,28
4,2,3,2,10,16,10,12,7,6,70,12,7,6,10,20
4,2,2,1,10,10,4,7,2,2,40,7,2,2,1,29
4,2,2,2,10,10,10,7,7,5,40,7,7,5,4,26
4,2,3,1,10,16,4,12,2,3,70,12,2,3,2,28
